p.index	average	peak	mymodel2$cluster	cluster
172	0.606880712	2.663	18.86	1
173	0.337814467	1.436	13.77	3
174	0.474523978	3.288	17.68	5
175	0.433121099	1.842	12.12	1
176	0.370109904	1.528	12.77	3
177	0.523439931	3.132	17.31	5
178	0.16141714	1.014	11.28	4
179	0.555777233	2.042	12.82	1
180	0.592724126	3.734	19.44	5
181	0.397089454	1.571	14.94	3
182	0.349583249	0.943301002	9.39	3
183	0.533161639	3.557	17.85	5
184	0.628627886	4.947	24.12	5
185	0.586826726	2.288	16.26	1
186	0.568773743	1.71	10.23	2
187	0.411259225	1.496	14.36	3
188	0.31477489	1.227	8.55	3
189	0.49491711	1.852	11.77	1
